Timestamp,Age,Attendance_Percentage,Gender,Challenge_Expectation,Effort_Course,Preparedness_Class,Performance_Level,Above_Average_Comparison,Teaching_Clarity,Stimulated_Student_Interest,Effective_Time_Use,Instructor_Availability,Instructor_Caring,Increased_Interest,Confidence_Gained,Importance_of_Learning,Course_Challenge,Skill_Development,Study_Hours_Per_Week,Recommendation,Reason
2022/12/08 8:36:52 PM GMT+7,20,98,F,5,3,3,1,1,4,4,5,3,3,4,3,4,5,3,6.0,5,to take opportunity
2022/12/08 8:37:19 PM GMT+7,19,100,M,5,4,4,3,3,4,4,3,4,4,4,5,4,3,4,5.0,4,interest
2022/12/08 8:37:42 PM GMT+7,20,100,M,5,4,4,1,1,4,4,4,4,4,1,1,3,5,2,3.0,4,to take opportunity
2022/12/08 8:38:02 PM GMT+7,16,100,M,1,3,5,5,5,5,4,5,4,5,5,5,5,1,3,5.0,5,interest
2022/12/08 8:38:18 PM GMT+7,20,90,M,4,3,3,1,1,5,5,4,4,4,4,4,4,5,4,6.0,5,degree requirement
2022/12/08 8:39:37 PM GMT+7,20,96,M,3,4,4,3,3,5,5,5,5,5,5,4,4,5,5,15.0,5,to take opportunity
2022/12/08 8:39:37 PM GMT+7,20,100,F,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,12.0,5,interest
2022/12/08 8:41:40 PM GMT+7,18,96,F,5,5,4,3,2,4,4,5,5,5,5,3,5,4,4,10.0,4,interest
2022/12/08 8:43:27 PM GMT+7,19,99,M,5,4,5,4,4,5,4,4,5,4,5,4,5,3,4,8.1,5,degree requirement
2022/12/08 9:11:01 PM GMT+7,18,100,F,5,4,3,2,2,3,4,4,4,4,3,3,3,3,3,12.0,3,interest
2022/12/09 7:58:31 PM GMT+7,20,88,M,4,5,5,3,3,5,5,5,5,5,4,4,5,5,5,7.0,5,interest
